text,tier
"What is the capital of France?",1
"What is 15% of 200?",1
"Convert 100 Fahrenheit to Celsius.",1
"What year did World War II end?",1
"What is the chemical symbol for gold?",1
"How many days are in a leap year?",1
"What is the speed of light in km/s?",1
"Who wrote Romeo and Juliet?",1
"What is the largest planet in the solar system?",1
"What does HTML stand for?",1
"Fix the grammar: 'She dont like going to the store'",1
"Fix the spelling: 'recieve the packege tomorow'",1
"Correct this sentence: 'He go to school every days'",1
"Fix punctuation: 'its a great day isnt it'",1
"Rewrite formally: 'gonna need that report asap'",1
"Extract all email addresses from: 'Contact info@example.com or support@acme.org'",1
"Extract phone numbers from: 'Call us at 555-1234 or 800-999-0000'",1
"Extract all dates from: 'Meeting on Jan 5, follow-up Feb 12, deadline March 3'",1
"List all nouns in: 'The quick brown fox jumps over the lazy dog'",1
"Extract the price from: 'The laptop costs $1,299.99 with free shipping'",1
"Convert 5 miles to kilometers.",1
"Convert 2.5 liters to gallons.",1
"What is 144 divided by 12?",1
"What is the square root of 256?",1
"How many seconds are in a day?",1
"Translate 'hello' to Spanish.",1
"Translate 'thank you' to French.",1
"Translate 'good morning' to Japanese.",1
"Translate 'goodbye' to German.",1
"Translate 'water' to Portuguese.",1
"Is Python a compiled or interpreted language?",1
"What does SQL stand for?",1
"What is the default port for HTTP?",1
"What is the boolean result of: True AND False?",1
"What data type stores True/False values in Python?",1
"What is the capital of Australia?",1
"Name the four oceans.",1
"What is H2O?",1
"How many continents are there?",1
"What is the tallest mountain in the world?",1
"Format this as a bullet list: apples, oranges, bananas, grapes",1
"Convert this to uppercase: 'hello world'",1
"Reverse this string: 'python'",1
"Count the words in: 'The quick brown fox jumps'",1
"What is the plural of 'mouse'?",1
"What is the opposite of 'happy'?",1
"Define the word 'ephemeral' in one sentence.",1
"What is a synonym for 'fast'?",1
"What is an antonym for 'loud'?",1
"Spell out the number 1,492.",1
"What is the boiling point of water in Celsius?",1
"Name three primary colors.",1
"What is the binary representation of 10?",1
"What does RAM stand for?",1
"What is the powerhouse of the cell?",1
"Who painted the Mona Lisa?",1
"What language is Django written in?",1
"What does CSS stand for?",1
"What is 2 to the power of 8?",1
"How many bytes are in a kilobyte?",1
"What is the main function of a CPU?",1
"Summarize this in 3 bullet points: The transformer architecture revolutionized NLP by replacing recurrent networks with self-attention mechanisms, enabling parallelization and better long-range dependency modeling. This led to models like BERT and GPT that set new benchmarks across nearly every language task.",2
"Summarize this article in 2 sentences: Researchers at MIT have developed a new battery technology that can charge to 80% capacity in under 5 minutes. The battery uses a novel lithium-metal anode that avoids the dendrite formation problem that plagued earlier designs. Initial tests show 1000+ charge cycles with minimal degradation.",2
"Classify this review as Positive, Neutral, or Negative: 'The product arrived on time but the packaging was damaged and the instructions were unclear.'",2
"Classify the sentiment of: 'I absolutely love this coffee maker! Best purchase I have made all year.'",2
"Classify as spam or not spam: 'Congratulations! You have won a $1000 gift card. Click here to claim.'",2
"Categorize this support ticket: 'My payment was charged twice for the same order.'",2
"Label this feedback as Bug, Feature Request, or Compliment: 'The dark mode looks amazing!'",2
"Is this question factual or opinion-based: 'What is the best programming language?'",2
"List 5 pros and cons of remote work.",2
"List advantages and disadvantages of electric vehicles.",2
"What are the main differences between SQL and NoSQL databases?",2
